PASS
ok  	bufio	0.970s
goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet3
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     626	   1844948 ns/op	 195.27 MB/s	         0.3603 MB_io/op	 1376971 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     639	   1829562 ns/op	 196.91 MB/s	         0.3603 MB_io/op	 1376971 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     661	   1843368 ns/op	 195.43 MB/s	         0.3603 MB_io/op	 1376954 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     650	   1918815 ns/op	 187.75 MB/s	         0.3603 MB_io/op	 1376969 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     662	   1826854 ns/op	 197.20 MB/s	         0.3603 MB_io/op	 1376964 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     654	   1857045 ns/op	 193.99 MB/s	         0.3603 MB_io/op	 1376970 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     632	   1855320 ns/op	 194.17 MB/s	         0.3603 MB_io/op	 1376967 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     676	   1837042 ns/op	 196.11 MB/s	         0.3603 MB_io/op	 1376965 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	     639	   1829991 ns/op	 196.86 MB/s	         0.3603 MB_io/op	 1376955 B/op	   12220 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     639	   1837910 ns/op	 196.01 MB/s	         0.3603 MB_io/op	 1375155 B/op	   12227 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     669	   1876237 ns/op	 192.01 MB/s	         0.3603 MB_io/op	 1375140 B/op	   12227 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     657	   1846476 ns/op	 195.10 MB/s	         0.3603 MB_io/op	 1375157 B/op	   12227 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     657	   1829502 ns/op	 196.91 MB/s	         0.3603 MB_io/op	 1375144 B/op	   12227 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     642	   1854597 ns/op	 194.25 MB/s	         0.3603 MB_io/op	 1375146 B/op	   12227 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     660	   1820994 ns/op	 197.83 MB/s	         0.3603 MB_io/op	 1375156 B/op	   12227 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     634	   1834280 ns/op	 196.40 MB/s	         0.3603 MB_io/op	 1375154 B/op	   12227 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     642	   1842931 ns/op	 195.48 MB/s	         0.3603 MB_io/op	 1375149 B/op	   12227 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     661	   1840984 ns/op	 195.69 MB/s	         0.3603 MB_io/op	 1375142 B/op	   12227 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     667	   1864534 ns/op	 193.21 MB/s	         0.3603 MB_io/op	 1375142 B/op	   12227 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchOr-16                 	     645	   1861239 ns/op	 193.56 MB/s	         0.3603 MB_io/op	 1376265 B/op	   12238 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchOr-16                 	     622	   1847530 ns/op	 194.99 MB/s	         0.3603 MB_io/op	 1376270 B/op	   12238 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchOr-16                 	     615	   1830279 ns/op	 196.83 MB/s	         0.3603 MB_io/op	 1376270 B/op	   12238 allocs/op
