goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet4
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 138297705 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 134368541 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 143927760 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       7	 144568530 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{status=error}_|_rate()/5                                                             	      32	  34153517 ns/op	         3.905 MB_IO/op	      1754 spans/op	     51356 spans/s
BenchmarkBackendBlockQueryRange/{status=error}_|_rate()/5                                                             	      34	  33439859 ns/op	         3.904 MB_IO/op	      1754 spans/op	     52452 spans/s
BenchmarkBackendBlockQueryRange/{status=error}_|_rate()/5                                                             	      39	  34212063 ns/op	         3.904 MB_IO/op	      1754 spans/op	     51268 spans/s
BenchmarkBackendBlockQueryRange/{status=error}_|_rate()/5                                                             	      31	  34758795 ns/op	         3.905 MB_IO/op	      1754 spans/op	     50462 spans/s
BenchmarkBackendBlockQueryRange/{status=error}_|_rate()/5                                                             	      33	  39659640 ns/op	         3.905 MB_IO/op	      1754 spans/op	     44226 spans/s
BenchmarkBackendBlockQueryRange/{status=error}_|_rate()/5                                                             	      31	  38691893 ns/op	         3.905 MB_IO/op	      1754 spans/op	     45333 spans/s
BenchmarkBackendBlockQueryRange/{status=error}_|_rate()/5                                                             	      32	  36579789 ns/op	         3.905 MB_IO/op	      1754 spans/op	     47950 spans/s
BenchmarkBackendBlockQueryRange/{status=error}_|_rate()/5                                                             	      30	  37692358 ns/op	         3.905 MB_IO/op	      1754 spans/op	     46535 spans/s
BenchmarkBackendBlockQueryRange/{status=error}_|_rate()/5                                                             	      31	  36320234 ns/op	         3.905 MB_IO/op	      1754 spans/op	     48293 spans/s
BenchmarkBackendBlockQueryRange/{status=error}_|_rate()/5                                                             	      34	  33138271 ns/op	         3.904 MB_IO/op	      1754 spans/op	     52930 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99,_.9,_.5)/5                                      	       3	 353353408 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1763731 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99,_.9,_.5)/5                                      	       3	 356956188 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1745929 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99,_.9,_.5)/5                                      	       3	 360844597 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1727115 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99,_.9,_.5)/5                                      	       3	 357051189 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1745465 spans/s
BenchmarkBackendBlockQueryRange/{}_|_quantile_over_time(duration,_.99,_.9,_.5)/5                                      	       3	 370961107 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1680015 spans/s
