goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet3
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     772	   4631914 ns/op	1660.96 MB/s	         7.693 MB_io/op	 2206213 B/op	   20521 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     776	   4648256 ns/op	1655.12 MB/s	         7.693 MB_io/op	 2169491 B/op	   20520 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     768	   4634792 ns/op	1659.93 MB/s	         7.693 MB_io/op	 2195241 B/op	   20521 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchOr-16                 	       7	 481222907 ns/op	  31.96 MB/s	        15.38 MB_io/op	 5105913 B/op	   21931 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchOr-16                 	       7	 488558808 ns/op	  31.48 MB/s	        15.38 MB_io/op	 5356324 B/op	   21943 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchOr-16                 	       7	 486452719 ns/op	  31.62 MB/s	        15.38 MB_io/op	 6127634 B/op	   21953 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchOr-16                 	       7	 479152164 ns/op	  32.10 MB/s	        15.38 MB_io/op	 5738562 B/op	   21946 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchOr-16                 	       7	 486150121 ns/op	  31.64 MB/s	        15.38 MB_io/op	 5523362 B/op	   21944 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchOr-16                 	       7	 478623612 ns/op	  32.13 MB/s	        15.38 MB_io/op	 5983614 B/op	   21952 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchOr-16                 	       7	 479505376 ns/op	  32.07 MB/s	        15.38 MB_io/op	 5119153 B/op	   21939 allocs/op
BenchmarkBackendBlockTraceQL/mixedValBothMatch-16                    	     932	   3761738 ns/op	1074.50 MB/s	         4.042 MB_io/op	 2329304 B/op	   20508 allocs/op
BenchmarkBackendBlockTraceQL/mixedValBothMatch-16                    	     949	   3731848 ns/op	1083.11 MB/s	         4.042 MB_io/op	 2346576 B/op	   20508 allocs/op
BenchmarkBackendBlockTraceQL/mixedValBothMatch-16                    	     951	   3799741 ns/op	1063.75 MB/s	         4.042 MB_io/op	 2364195 B/op	   20509 allocs/op
BenchmarkBackendBlockTraceQL/mixedValBothMatch-16                    	     966	   3848319 ns/op	1050.33 MB/s	         4.042 MB_io/op	 2333499 B/op	   20508 allocs/op
BenchmarkBackendBlockTraceQL/mixedValBothMatch-16                    	     950	   3818017 ns/op	1058.66 MB/s	         4.042 MB_io/op	 2321397 B/op	   20508 allocs/op
BenchmarkBackendBlockTraceQL/mixedValBothMatch-16                    	     913	   3968139 ns/op	1018.61 MB/s	         4.042 MB_io/op	 2386162 B/op	   20509 allocs/op
BenchmarkBackendBlockTraceQL/mixedValBothMatch-16                    	     909	   3957764 ns/op	1021.28 MB/s	         4.042 MB_io/op	 2346219 B/op	   20509 allocs/op
BenchmarkBackendBlockTraceQL/count-16                                	       3	1442611698 ns/op	  28.40 MB/s	        40.97 MB_io/op	672856378 B/op	 9060221 allocs/op
BenchmarkBackendBlockTraceQL/count-16                                	       3	1439599232 ns/op	  28.46 MB/s	        40.97 MB_io/op	678398872 B/op	 9060473 allocs/op
BenchmarkBackendBlockTraceQL/count-16                                	       3	1436753741 ns/op	  28.51 MB/s	        40.97 MB_io/op	672449994 B/op	 9060351 allocs/op
BenchmarkBackendBlockTraceQL/count-16                                	       3	1457315071 ns/op	  28.11 MB/s	        40.97 MB_io/op	673947522 B/op	 9060351 allocs/op
BenchmarkBackendBlockTraceQL/count-16                                	       3	1456747034 ns/op	  28.12 MB/s	        40.97 MB_io/op	673868592 B/op	 9060280 allocs/op
BenchmarkBackendBlockTraceQL/count-16                                	       3	1454222741 ns/op	  28.17 MB/s	        40.97 MB_io/op	675953840 B/op	 9060435 allocs/op
BenchmarkBackendBlockTraceQL/count-16                                	       3	1456383878 ns/op	  28.13 MB/s	        40.97 MB_io/op	675308090 B/op	 9060216 allocs/op
BenchmarkBackendBlockTraceQL/desc-16                                 	       4	 781809581 ns/op	  10.14 MB/s	         7.927 MB_io/op	 8221540 B/op	  627924 allocs/op
BenchmarkBackendBlockTraceQL/desc-16                                 	       4	 790826357 ns/op	  10.02 MB/s	         7.927 MB_io/op	 8202066 B/op	  627921 allocs/op
BenchmarkBackendBlockTraceQL/desc-16                                 	       4	 779700704 ns/op	  10.17 MB/s	         7.927 MB_io/op	 8237160 B/op	  627928 allocs/op
BenchmarkBackendBlockTraceQL/desc-16                                 	       4	 782424696 ns/op	  10.13 MB/s	         7.927 MB_io/op	 7565698 B/op	  627906 allocs/op
BenchmarkBackendBlockTraceQL/desc-16                                 	       4	 799873597 ns/op	   9.91 MB/s	         7.927 MB_io/op	 7756204 B/op	  627923 allocs/op
BenchmarkBackendBlockTraceQL/desc-16                                 	       4	 797085048 ns/op	   9.94 MB/s	         7.927 MB_io/op	 8236208 B/op	  627926 allocs/op
BenchmarkBackendBlockTraceQL/desc-16                                 	       4	 798369384 ns/op	   9.93 MB/s	         7.927 MB_io/op	 8221328 B/op	  627920 allocs/op
PASS
ok  	github.com/grafana/tempo/tempodb/encoding/vparquet3	587.467s
